project,bug,rank,test,score
Codec,18,7,org.apache.commons.codec.net.QuotedPrintableCodecTest#testSoftLineBreakDecode,0.333333
Codec,18,8,org.apache.commons.codec.net.QuotedPrintableCodecTest#testSoftLineBreakEncode,0.333333
Codec,18,9,org.apache.commons.codec.net.QuotedPrintableCodecTest#testUnsafeEncodeDecode,0.333333
Codec,18,10,org.apache.commons.codec.net.URLCodecTest#testUTF8RoundTrip,0.333333
Time,27,1,org.joda.time.format.TestPeriodFormatterBuilder#testFormatLiteral,0.020761
Time,27,2,org.joda.time.format.TestPeriodFormatterBuilder#testFormatMillis3Digit,0.019332
Time,27,3,org.joda.time.format.TestPeriodFormatterBuilder#testFormatMillis,0.016916
Time,27,4,org.joda.time.format.TestPeriodFormatterBuilder#testFormatMonths,0.016916
Time,27,5,org.joda.time.format.TestPeriodFormatterBuilder#testFormatDays,0.016916
Time,27,6,org.joda.time.format.TestPeriodFormatterBuilder#testFormatMinutes,0.016916
Time,27,7,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSecondsWithOptionalMillis,0.016916
Time,27,8,org.joda.time.format.TestPeriodFormatterBuilder#testFormatHours,0.016916
Time,27,9,org.joda.time.format.TestPeriodFormatterBuilder#testFormatWeeks,0.016916
Time,27,10,org.joda.time.format.TestPeriodFormatterBuilder#testFormatYears,0.016916
Lang,65,1,org.apache.commons.lang.time.DateUtilsTest#testMonthIterator,0.300248
Lang,65,2,org.apache.commons.lang.time.DateUtilsTest#testRound,0.300248
Lang,65,3,org.apache.commons.lang.time.DateUtilsTest#testTruncate,0.300248
Lang,65,4,org.apache.commons.lang.time.DateUtilsTest#testTruncateLang59,0.300248
Lang,65,5,org.apache.commons.lang.time.DateUtilsTest#testWeekIterator,0.300248
Lang,65,6,org.apache.commons.lang.time.DateUtilsTest#testAddByField,0.290323
Lang,65,7,org.apache.commons.lang.time.DateUtilsTest#testAddDays,0.290323
Lang,65,8,org.apache.commons.lang.time.DateUtilsTest#testAddHours,0.290323
Lang,65,9,org.apache.commons.lang.time.DateUtilsTest#testAddMilliseconds,0.290323
Lang,65,10,org.apache.commons.lang.time.DateUtilsTest#testAddMinutes,0.290323
Jsoup,93,1,org.jsoup.nodes.FormElementTest#createsFormData,0.333333
Jsoup,93,2,org.jsoup.nodes.FormElementTest#actionWithNoValue,0.333333
Jsoup,93,3,org.jsoup.nodes.FormElementTest#removeFormElement,0.333333
Jsoup,93,4,org.jsoup.nodes.FormElementTest#createsSubmitableConnection,0.333333
Jsoup,93,5,org.jsoup.nodes.FormElementTest#formDataUsesFirstAttribute,0.333333
Jsoup,93,6,org.jsoup.nodes.FormElementTest#controlsAddedAfterParseAreLinkedWithForms,0.333333
Jsoup,93,7,org.jsoup.nodes.FormElementTest#adoptedFormsRetainInputs,0.333333
Jsoup,93,8,org.jsoup.nodes.FormElementTest#usesOnForCheckboxValueIfNoValueSet,0.333333
Jsoup,93,9,org.jsoup.nodes.FormElementTest#formsAddedAfterParseAreFormElements,0.166667
Jsoup,93,10,org.jsoup.nodes.FormElementTest#hasAssociatedControls,0.166667
Csv,16,1,org.apache.commons.csv.CSVParserTest#testGetHeaderMap,0.088000
Csv,16,2,org.apache.commons.csv.CSVPrinterTest#testParseCustomNullValues,0.080000
Csv,16,3,org.apache.commons.csv.CSVRecordTest#testToMapWithShortRecord,0.080000
Csv,16,4,org.apache.commons.csv.CSVRecordTest#testToMapWithNoHeader,0.080000
Csv,16,5,org.apache.commons.csv.CSVFileParserTest#testCSVFile[0],0.080000
Csv,16,6,org.apache.commons.csv.CSVFileParserTest#testCSVFile[1],0.080000
Csv,16,7,org.apache.commons.csv.CSVFileParserTest#testCSVFile[2],0.080000
Csv,16,8,org.apache.commons.csv.CSVFileParserTest#testCSVFile[3],0.080000
Csv,16,9,org.apache.commons.csv.CSVFileParserTest#testCSVFile[4],0.080000
Csv,16,10,org.apache.commons.csv.CSVFileParserTest#testCSVFile[5],0.080000
