project,bug,rank,test,score
Codec,18,9,org.apache.commons.codec.net.BCodecTest#testEncodeObjects,0.083333
Codec,18,10,org.apache.commons.codec.digest.HmacAlgorithmsTest#testHmacFailString[HmacMD5],0.083333
Time,27,1,org.joda.time.format.TestPeriodFormatter#testPrinterParserMethods,0.016733
Time,27,2,org.joda.time.format.TestPeriodFormatterBuilder#testFormatLiteral,0.010521
Time,27,3,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrefixSimple3,0.009333
Time,27,4,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrintZeroRarelyFirstDays,0.009063
Time,27,5,org.joda.time.format.TestPeriodFormatterBuilder#testFormatAppend_PrinterParser_null_Parser,0.008682
Time,27,6,org.joda.time.format.TestPeriodFormatterBuilder#testToFormatterPrinterParser,0.006954
Time,27,7,org.joda.time.format.TestPeriodFormatterBuilder#testFormatAppend_PrinterParser_null_null,0.006667
Time,27,8,org.joda.time.format.TestPeriodFormatterBuilder#testFormatPrefixPlural3,0.006667
Time,27,9,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSuffixSimple3,0.006667
Time,27,10,org.joda.time.format.TestPeriodFormatterBuilder#testFormatSuffixPlural3,0.006667
Lang,65,1,org.apache.commons.lang.time.DateUtilsTest#testMonthIterator,0.300248
Lang,65,2,org.apache.commons.lang.time.DateUtilsTest#testAddByField,0.290323
Lang,65,3,org.apache.commons.lang.time.DateUtilsTest#testRound,0.266887
Lang,65,4,org.apache.commons.lang.time.DateUtilsTest#testTruncate,0.225186
Lang,65,5,org.apache.commons.lang.time.DateUtilsTest#testTruncateLang59,0.180149
Lang,65,6,org.apache.commons.lang.time.DateUtilsTest#testAddDays,0.145161
Lang,65,7,org.apache.commons.lang.time.DateUtilsTest#testAddHours,0.145161
Lang,65,8,org.apache.commons.lang.time.DateUtilsTest#testAddMilliseconds,0.145161
Lang,65,9,org.apache.commons.lang.time.DateUtilsTest#testAddMinutes,0.145161
Lang,65,10,org.apache.commons.lang.time.DateUtilsTest#testAddMonths,0.145161
Jsoup,93,1,org.jsoup.nodes.FormElementTest#createsFormData,0.333333
Jsoup,93,2,org.jsoup.nodes.FormElementTest#formsAddedAfterParseAreFormElements,0.111111
Jsoup,93,3,org.jsoup.nodes.FormElementTest#actionWithNoBaseUri,0.111111
Jsoup,93,4,org.jsoup.nodes.FormElementTest#actionWithNoValue,0.111111
Jsoup,93,5,org.jsoup.nodes.FormElementTest#removeFormElement,0.111111
Jsoup,93,6,org.jsoup.nodes.FormElementTest#controlsAddedAfterParseAreLinkedWithForms,0.111111
Jsoup,93,7,org.jsoup.nodes.DocumentTest#testLocation,0.083334
