project,bug,Best LoM family,Best LoM APFD,Best TCP mode,Best TCP APFD,Random avg
Codec,18,Dis-LoM,0.9540,total,0.9902,0.5437
Csv,16,LoM,0.9643,total,0.9643,0.9239
JacksonCore,26,Dis-LoM,0.9729,additional,0.9733,0.9439
JacksonDatabind,112,Dis-LoM,0.9924,additional,0.9936,0.9908
JacksonXml,6,Dis-LoM,0.9399,additional,0.9609,0.8545
Lang,65,LoM,0.9938,total,0.9938,0.7148
Time,27,Dis-LoM,0.9915,additional,0.9872,0.7939
