project,bug,LoM,Dis-LoM,total,additional,random_seed1,random_seed2,random_seed3,random_seed4,random_seed5
Codec,18,0.0000,0.9540,0.6101,0.6735,0.5204,0.4932,0.5724,0.5724,0.5603
Csv,16,0.0000,0.9643,0.9152,0.9152,0.9643,0.9066,0.9643,0.9643,0.8200
JacksonCore,26,0.0000,0.9729,0.9677,0.9732,0.9452,0.9382,0.9431,0.9446,0.9482
JacksonDatabind,112,0.0000,0.9924,0.9920,0.9922,0.9901,0.9909,0.9896,0.9921,0.9915
JacksonXml,6,0.0000,0.9399,0.7779,0.8856,0.8290,0.9214,0.7967,0.8644,0.8608
Lang,65,0.0000,0.9938,0.5741,0.7099,0.3765,0.5494,0.9691,0.8457,0.8333
Time,27,0.0000,0.9915,0.8061,0.9095,0.7709,0.7203,0.7964,0.8727,0.8092
