rank,test,score
77,org.jsoup.nodes.DocumentTest#testClone,278.000000
78,org.jsoup.integration.ConnectTest#canConnectToLocalServer,270.000000
79,org.jsoup.helper.DataUtilTest#firstMetaElementWithCharsetShouldBeUsedForDecoding,267.000000
80,org.jsoup.nodes.ElementTest#testShallowClone,263.000000
81,org.jsoup.parser.HtmlParserTest#handlesInvalidDoctypes,261.000000
82,org.jsoup.safety.CleanerTest#testDropComments,254.000000
83,org.jsoup.parser.XmlTreeBuilderTest#testSimpleXmlParse,210.000000
84,org.jsoup.parser.HtmlParserTest#parsesSimpleDocument,204.000000
85,org.jsoup.parser.HtmlParserTest#handlesManyChildren,158.000000
86,org.jsoup.nodes.ElementTest#appendMustCorrectlyMoveChildrenInsideOneParentElement,127.000000
87,org.jsoup.nodes.AttributesTest#html,79.000000
88,org.jsoup.integration.ParseTest#testNewsHomepage,428.000000
89,org.jsoup.integration.ConnectTest#doesPut,387.000000
90,org.jsoup.integration.ParseTest#testHtml5Charset,269.000000
91,org.jsoup.parser.HtmlParserTest#normalisesDocument,263.000000
92,org.jsoup.parser.AttributeParseTest#dropsSlashFromAttributeName,252.000000
93,org.jsoup.safety.CleanerTest#testHandlesEmptyAttributes,247.000000
94,org.jsoup.helper.W3CDomTest#simpleConversion,240.000000
95,org.jsoup.parser.HtmlParserTest#handlesEscapedScript,214.000000
96,org.jsoup.parser.HtmlParserTest#handlesUnknownInlineTags,213.000000
97,org.jsoup.parser.XmlTreeBuilderTest#dropsDuplicateAttributes,207.000000
98,org.jsoup.integration.ConnectIT#canInterruptDocumentRead,193.000000
99,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateDisabledNoChanges,166.000000
100,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdatedDisabledPerDefault,83.000000
101,org.jsoup.integration.ParseTest#testNytArticle,426.000000
102,org.jsoup.integration.ConnectTest#bodyAndBytesAvailableBeforeParse,330.000000
103,org.jsoup.integration.ConnectIT#slowReadOk,285.000000
104,org.jsoup.safety.CleanerTest#simpleBehaviourTest,272.000000
105,org.jsoup.helper.DataUtilTest#wrongMetaCharsetFallback,261.000000
106,org.jsoup.nodes.ElementTest#dataset,244.000000
107,org.jsoup.nodes.DocumentTest#testNormalisesStructure,234.000000
108,org.jsoup.parser.TokeniserStateTest#testPublicAndSystemIdentifiersWithWhitespace,204.000000
109,org.jsoup.parser.XmlTreeBuilderTest#handlesDodgyXmlDecl,203.000000
110,org.jsoup.parser.TokeniserStateTest#testCommentEndBangCoverage,202.000000
111,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateXmlNoCharset,159.000000
112,org.jsoup.nodes.DocumentTypeTest#outerHtmlGeneration,88.000000
113,org.jsoup.integration.ConnectTest#multipleParsesOkAfterBufferUp,329.000000
114,org.jsoup.safety.CleanerTest#preservesRelativeLinksIfConfigured,293.000000
115,org.jsoup.helper.DataUtilTest#secondMetaElementWithContentTypeContainsCharsetParameter,267.000000
116,org.jsoup.parser.HtmlParserTest#handlesUnclosedAnchors,265.000000
117,org.jsoup.select.ElementsTest#siblings,258.000000
118,org.jsoup.parser.HtmlParserTest#noErrorsByDefault,206.000000
119,org.jsoup.parser.TokeniserStateTest#testPublicIdentifiersWithWhitespace,201.000000
120,org.jsoup.parser.XmlTreeBuilderTest#handlesLTinScript,189.000000
121,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateEnabledAfterCharsetChange,147.000000
122,org.jsoup.integration.ConnectTest#throwsExceptionOn404,104.000000
123,org.jsoup.integration.ConnectTest#doesGet,395.000000
124,org.jsoup.safety.CleanerTest#handlesNoHrefAttribute,279.000000
125,org.jsoup.nodes.ElementTest#testNormalizesInvisiblesInText,278.000000
126,org.jsoup.nodes.ElementTest#testIs,261.000000
127,org.jsoup.parser.HtmlParserTest#parsesRoughAttributes,206.000000
128,org.jsoup.parser.TokeniserStateTest#testSystemIdentifiersWithWhitespace,200.000000
129,org.jsoup.parser.XmlTreeBuilderTest#normalizesDiscordantTags,172.000000
130,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateDisabled,134.000000
131,org.jsoup.safety.CleanerTest#bailsIfRemovingProtocolThatsNotSet,13.000000
132,org.jsoup.integration.ConnectTest#fetchURIWithWhitespace,329.000000
133,org.jsoup.select.SelectorTest#testPseudoContains,300.000000
134,org.jsoup.safety.CleanerTest#testRemoveTags,272.000000
135,org.jsoup.parser.HtmlParserTest#tracksLimitedErrorsWhenRequested,223.000000
136,org.jsoup.parser.TokeniserStateTest#testCharacterReferenceInRcdata,221.000000
137,org.jsoup.parser.HtmlParserTest#handlesWhitespaceInoDocType,202.000000
138,org.jsoup.parser.XmlTreeBuilderTest#xmlFragment,162.000000
139,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateXmlDisabled,118.000000
140,org.jsoup.nodes.NodeTest#orphanNodeReturnsNullForSiblingElements,18.000000
141,org.jsoup.integration.ConnectTest#parseParseThrowsValidates,327.000000
142,org.jsoup.safety.CleanerTest#testRemoveAttributes,270.000000
143,org.jsoup.parser.HtmlParserTest#testNormalisesIsIndex,267.000000
144,org.jsoup.nodes.ElementTest#testCssPath,263.000000
145,org.jsoup.parser.XmlTreeBuilderTest#roundTripsCdata,215.000000
146,org.jsoup.parser.HtmlParserTest#parsesComments,199.000000
147,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateCleanup,176.000000
148,org.jsoup.integration.ConnectTest#handlesEmtpyStreamDuringBufferedRead,75.000000
149,org.jsoup.integration.ConnectTest#doesPostMultipartWithoutInputstream,388.000000
150,org.jsoup.safety.CleanerTest#testRemoveProtocols,289.000000
151,org.jsoup.parser.HtmlParserTest#dropsDuplicateAttributes,256.000000
152,org.jsoup.helper.W3CDomTest#handlesInvalidAttributeNames,217.000000
153,org.jsoup.helper.DataUtilTest#discardsSpuriousByteOrderMark,204.000000
154,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateNoCharset,172.000000
155,org.jsoup.parser.XmlTreeBuilderTest#testPopToClose,169.000000
156,org.jsoup.nodes.EntitiesTest#strictUnescape,57.000000
157,org.jsoup.integration.ConnectTest#sendsRequestBody,378.000000
158,org.jsoup.nodes.TextNodeTest#testSplitAnEmbolden,276.000000
159,org.jsoup.safety.CleanerTest#testDropsUnknownTags,257.000000
160,org.jsoup.nodes.ElementTest#testManipulateTextNodes,233.000000
161,org.jsoup.parser.XmlTreeBuilderTest#testParseDeclarationAttributes,209.000000
162,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateIso8859,176.000000
163,org.jsoup.select.QueryParserTest#testParsesSingleQuoteInContains,26.000000
164,org.jsoup.integration.ConnectTest#bodyAfterParseThrowsValidationError,293.000000
165,org.jsoup.nodes.ElementTest#testRemoveBeforeIndex,266.000000
166,org.jsoup.nodes.NodeTest#supportsClone,259.000000
167,org.jsoup.safety.CleanerTest#whitelistedProtocolShouldBeRetained,255.000000
168,org.jsoup.parser.XmlTreeBuilderTest#caseSensitiveDeclaration,197.000000
169,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateXmlUtf8,160.000000
170,org.jsoup.helper.HttpConnectionTest#ignoresEmptyCookieNameAndVals,21.000000
171,org.jsoup.integration.ConnectTest#doesPost,387.000000
172,org.jsoup.safety.CleanerTest#testDropXmlProc,248.000000
173,org.jsoup.parser.HtmlParserTest#handleCDataInText,246.000000
174,org.jsoup.select.SelectorTest#testByAttribute,236.000000
175,org.jsoup.parser.XmlTreeBuilderTest#testSupplyParserToJsoupClass,171.000000
176,org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateXmlDisabledNoChanges,153.000000
177,org.jsoup.nodes.TextNodeTest#testBlank,11.000000
178,org.jsoup.integration.ConnectTest#sendsRequestBodyJsonWithoutData,378.000000
179,org.jsoup.parser.HtmlParserTest#selfClosingVoidIsNotAnError,280.000000
180,org.jsoup.nodes.ElementTest#testRemovingEmptyClassAttributeWhenLastClassRemoved,234.000000
181,org.jsoup.parser.TokeniserTest#cp1252EntitiesProduceError,199.000000
182,org.jsoup.parser.XmlTreeBuilderTest#canNormalizeCase,187.000000
183,org.jsoup.parser.XmlTreeBuilderTest#testCreatesValidProlog,146.000000
184,org.jsoup.nodes.AttributeTest#testWithSupplementaryCharacterInAttributeKeyAndValue,52.000000
185,org.jsoup.integration.ConnectTest#sendsRequestBodyJsonWithData,387.000000
186,org.jsoup.safety.CleanerTest#basicBehaviourTest,293.000000
187,org.jsoup.select.ElementsTest#val,284.000000
188,org.jsoup.parser.HtmlParserTest#handlesBaseTags,222.000000
189,org.jsoup.parser.XmlTreeBuilderTest#preservesCaseByDefault,185.000000
190,org.jsoup.integration.ConnectTest#handlesEmptyRedirect,65.000000
191,org.jsoup.integration.ConnectTest#doesNotPostFor302,388.000000
192,org.jsoup.safety.CleanerTest#handlesCustomProtocols,272.000000
193,org.jsoup.select.SelectorTest#handlesCommasInSelector,267.000000
194,org.jsoup.nodes.ElementTest#testNoIndentOnScriptAndStyle,222.000000
195,org.jsoup.parser.XmlTreeBuilderTest#xmlParseDefaultsToHtmlOutputSyntax,95.000000
196,org.jsoup.internal.StringUtilTest#normaliseWhiteSpace,7.000000
197,org.jsoup.safety.CleanerTest#testCleanAnchorProtocol,284.000000
198,org.jsoup.nodes.ElementTest#testSetHtmlTitle,270.000000
199,org.jsoup.nodes.ElementTest#testGetDataNodes,222.000000
200,org.jsoup.parser.XmlTreeBuilderTest#testDoesHandleEOFInTag,159.000000
201,org.jsoup.integration.ParseTest#testBinaryThrowsException,68.000000
202,org.jsoup.safety.CleanerTest#resolvesRelativeLinks,294.000000
203,org.jsoup.parser.AttributeParseTest#parsesBooleanAttributes,244.000000
204,org.jsoup.nodes.FormElementTest#hasAssociatedControls,230.000000
205,org.jsoup.parser.CharacterReaderTest#consumeLetterSequence,11.000000
206,org.jsoup.parser.HtmlParserTest#handlesWhatWgExpensesTableExample,262.000000
207,org.jsoup.safety.CleanerTest#handlesControlCharactersAfterTagName,231.000000
208,org.jsoup.select.ElementsTest#attributes,229.000000
209,org.jsoup.helper.HttpConnectionTest#connectWithUrl,32.000000
210,org.jsoup.safety.CleanerTest#simpleBehaviourTest2,244.000000
211,org.jsoup.select.ElementsTest#classes,217.000000
212,org.jsoup.parser.HtmlParserTest#relaxedBaseEntityMatchAndStrictExtendedMatch,209.000000
213,org.jsoup.nodes.AttributeTest#settersOnOrphanAttribute,9.000000
214,org.jsoup.select.ElementsTest#unwrap,276.000000
215,org.jsoup.select.SelectorTest#findBetweenSpan,243.000000
216,org.jsoup.safety.CleanerTest#testDropImageScript,217.000000
217,org.jsoup.nodes.NodeTest#handlesBaseUri,29.000000
218,org.jsoup.safety.CleanerTest#handlesAttributesWithNoValue,281.000000
219,org.jsoup.select.ElementsTest#setHtml,265.000000
220,org.jsoup.select.SelectorTest#testPseudoBetween,247.000000
221,org.jsoup.parser.ParserSettingsTest#attributesCaseNormalization,16.000000
222,org.jsoup.safety.CleanerTest#dropsUnresolvableRelativeLinks,286.000000
223,org.jsoup.nodes.ElementTest#testChainedRemoveAttributes,255.000000
224,org.jsoup.nodes.DocumentTest#testTitles,248.000000
225,org.jsoup.parser.TokenQueueTest#addFirst,8.000000
226,org.jsoup.safety.CleanerTest#addsTagOnAttributesIfNotSet,262.000000
227,org.jsoup.nodes.ElementTest#testLoopedRemoveAttributes,249.000000
228,org.jsoup.parser.AttributeParseTest#strictAttributeUnescapes,240.000000
229,org.jsoup.parser.TokenQueueTest#chompToIgnoreCase,8.000000
230,org.jsoup.safety.CleanerTest#testCleanJavascriptHref,279.000000
231,org.jsoup.nodes.ElementTest#insertChildrenAsCopy,276.000000
232,org.jsoup.parser.HtmlParserTest#preservesSpaceInScript,226.000000
233,org.jsoup.parser.TagTest#imgSemantics,10.000000
234,org.jsoup.nodes.ElementTest#testRemoveAfterIndex,266.000000
235,org.jsoup.safety.CleanerTest#basicWithImagesTest,262.000000
236,org.jsoup.parser.HtmlParserTest#handlesSpanInTbody,248.000000
237,org.jsoup.helper.HttpConnectionTest#inputStream,11.000000
238,org.jsoup.safety.CleanerTest#handlesAllPseudoTag,270.000000
239,org.jsoup.nodes.NodeTest#before,267.000000
240,org.jsoup.nodes.FormElementTest#removeFormElement,258.000000
241,org.jsoup.nodes.ElementTest#elementByTagName,15.000000
242,org.jsoup.select.ElementsTest#filter,246.000000
243,org.jsoup.parser.HtmlParserTest#ignoresContentAfterFrameset,212.000000
244,org.jsoup.nodes.ElementTest#testHasClassDomMethods,22.000000
245,org.jsoup.select.SelectorTest#testByAttributeStarting,236.000000
246,org.jsoup.nodes.ElementTest#testFormatOutline,229.000000
247,org.jsoup.nodes.AttributesTest#testIteratorRemovable,21.000000
248,org.jsoup.select.SelectorTest#testByAttributeRegexCombined,278.000000
249,org.jsoup.nodes.ElementTest#testHtmlContainsOuter,254.000000
250,org.jsoup.nodes.EntitiesTest#unescape,60.000000
251,org.jsoup.nodes.ElementTest#testShadowElementsAreUpdated,287.000000
252,org.jsoup.select.SelectorTest#testWildcardNamespacedTag,265.000000
253,org.jsoup.nodes.EntitiesTest#getByName,23.000000
254,org.jsoup.select.CssTest#onlyChild,276.000000
255,org.jsoup.nodes.ElementTest#testPrependText,259.000000
256,org.jsoup.integration.ConnectTest#canFetchBinaryAsBytes,85.000000
257,org.jsoup.nodes.DocumentTest#testHtmlAppendable,205.000000
258,org.jsoup.nodes.ElementTest#testWholeText,195.000000
259,org.jsoup.integration.ConnectTest#testBinaryContentTypeThrowsException,69.000000
260,org.jsoup.nodes.DocumentTest#DocumentsWithSameContentAreVerifialbe,218.000000
261,org.jsoup.nodes.NodeTest#changingAttributeValueShouldReplaceExistingAttributeCaseInsensitive,212.000000
262,org.jsoup.integration.ConnectIT#canInterruptBodyStringRead,74.000000
263,org.jsoup.nodes.NodeTest#after,267.000000
264,org.jsoup.parser.HtmlParserTest#parsesUnterminatedComments,211.000000
265,org.jsoup.internal.StringUtilTest#padding,1.000000
266,org.jsoup.nodes.NodeTest#childNodesCopy,289.000000
267,org.jsoup.select.ElementsTest#eachText,221.000000
268,org.jsoup.internal.StringUtilTest#isNumeric,1.000000
269,org.jsoup.select.CssTest#firstOfType,285.000000
270,org.jsoup.parser.XmlTreeBuilderTest#testDoesNotForceSelfClosingKnownTags,220.000000
271,org.jsoup.parser.TokenQueueTest#unescape,4.000000
272,org.jsoup.parser.HtmlParserTest#handlesCdataInScript,251.000000
273,org.jsoup.nodes.ElementTest#testPrependElement,237.000000
274,org.jsoup.parser.CharacterReaderTest#unconsume,11.000000
275,org.jsoup.parser.HtmlParserTest#handleNullContextInParseFragment,215.000000
276,org.jsoup.nodes.ElementTest#voidTestFilterCallReturnsElement,194.000000
277,org.jsoup.parser.CharacterReaderTest#rangeEquals,8.000000
278,org.jsoup.parser.HtmlParserTest#testHeaderContents,218.000000
279,org.jsoup.nodes.ElementTest#testPreviousElementSiblings,209.000000
280,org.jsoup.parser.CharacterReaderTest#containsIgnoreCase,8.000000
281,org.jsoup.parser.HtmlParserTest#testNoImagesInNoScriptInHead,230.000000
282,org.jsoup.nodes.ElementTest#testGetSiblingsWithDuplicateContent,228.000000
283,org.jsoup.parser.CharacterReaderTest#consume,11.000000
284,org.jsoup.select.ElementsTest#wrap,265.000000
285,org.jsoup.nodes.FormElementTest#formsAddedAfterParseAreFormElements,237.000000
286,org.jsoup.parser.TagTest#trims,10.000000
287,org.jsoup.select.ElementsTest#tagNameSet,246.000000
288,org.jsoup.parser.HtmlParserTest#commentAtEnd,141.000000
289,org.jsoup.select.QueryParserTest#testOrGetsCorrectPrecedence,36.000000
290,org.jsoup.select.TraversorTest#filterRemove,251.000000
291,org.jsoup.select.ElementsTest#parents,201.000000
292,org.jsoup.helper.DataUtilTest#generatesMimeBoundaries,4.000000
293,org.jsoup.nodes.ElementTest#parentlessToString,223.000000
294,org.jsoup.select.ElementsTest#eq,216.000000
295,org.jsoup.helper.HttpConnectionTest#cookie,37.000000
296,org.jsoup.nodes.ElementTest#testAddNewElement,273.000000
297,org.jsoup.select.ElementsTest#not,253.000000
298,org.jsoup.helper.HttpConnectionTest#method,37.000000
299,org.jsoup.nodes.ElementTest#testAppendTo,264.000000
300,org.jsoup.select.ElementsTest#traverse,200.000000
301,org.jsoup.helper.HttpConnectionTest#referrer,42.000000
302,org.jsoup.select.SelectorTest#containsOwn,254.000000
303,org.jsoup.nodes.ElementTest#elementIsNotASiblingOfItself,248.000000
304,org.jsoup.helper.HttpConnectionTest#data,44.000000
305,org.jsoup.select.SelectorTest#matchesOwn,253.000000
306,org.jsoup.nodes.DocumentTest#testOutputEncoding,237.000000
307,org.jsoup.helper.HttpConnectionTest#userAgent,42.000000
308,org.jsoup.select.SelectorTest#mixCombinatorGroup,267.000000
309,org.jsoup.nodes.NodeTest#testReplace,240.000000
310,org.jsoup.helper.HttpConnectionTest#headers,42.000000
311,org.jsoup.select.CssTest#root,240.000000
312,org.jsoup.parser.HtmlParserTest#preservedCaseLinksCantNest,225.000000
313,org.jsoup.helper.HttpConnectionTest#requestBody,37.000000
314,org.jsoup.select.CssTest#onlyOfType,240.000000
315,org.jsoup.parser.HtmlParserTest#handlesXmlDeclarationAsBogusComment,223.000000
316,org.jsoup.nodes.AttributeTest#html,52.000000
317,org.jsoup.select.CssTest#nthLastChild_simple,281.000000
318,org.jsoup.parser.HtmlParserTest#handlesImplicitCaptionClose,231.000000
319,org.jsoup.nodes.AttributeTest#validatesKeysNotEmpty,4.000000
320,org.jsoup.parser.HtmlParserTest#reconstructFormattingElements,249.000000
321,org.jsoup.select.CssTest#empty,230.000000
322,org.jsoup.nodes.AttributeTest#validatesKeysNotEmptyViaSet,5.000000
323,org.jsoup.parser.HtmlParserTest#handlesUnclosedTitle,271.000000
324,org.jsoup.nodes.TextNodeTest#testLeadNodesHaveNoChildren,199.000000
325,org.jsoup.nodes.ElementTest#testHashcodeIsStableWithContentChanges,23.000000
326,org.jsoup.parser.HtmlParserTest#handlesKnownEmptyBlocks,252.000000
327,org.jsoup.nodes.ElementTest#insertChildrenArgumentValidation,213.000000
328,org.jsoup.nodes.ElementTest#whiteSpaceClassElement,22.000000
329,org.jsoup.parser.HtmlParserTest#associatedFormControlsWithDisjointForms,271.000000
330,org.jsoup.nodes.ElementTest#testClassDomMethods,213.000000
331,org.jsoup.nodes.AttributesTest#testIteratorHasNext,15.000000
332,org.jsoup.parser.HtmlParserTest#normalisedBodyAfterContent,254.000000
333,org.jsoup.nodes.ElementTest#testNamespacedElements,216.000000
334,org.jsoup.nodes.AttributesTest#removeCaseSensitive,13.000000
335,org.jsoup.parser.HtmlParserTest#handlesNullInData,228.000000
336,org.jsoup.nodes.ElementTest#testGetElementsWithClass,209.000000
337,org.jsoup.nodes.AttributesTest#testSetKeyConsistency,15.000000
338,org.jsoup.parser.HtmlParserTest#parsesQuiteRoughAttributes,237.000000
339,org.jsoup.nodes.ElementTest#testGetElementsWithAttributeValue,196.000000
340,org.jsoup.nodes.AttributesTest#testIteratorEmpty,3.000000
341,org.jsoup.select.ElementsTest#before,264.000000
342,org.jsoup.nodes.ElementTest#testThrowsOnAddNullText,201.000000
343,org.jsoup.nodes.AttributesTest#testIterator,16.000000
344,org.jsoup.select.ElementsTest#remove,241.000000
345,org.jsoup.nodes.ElementTest#testThrowsOnPrependNullText,201.000000
346,org.jsoup.nodes.AttributesTest#testIteratorUpdateable,17.000000
347,org.jsoup.select.ElementsTest#after,264.000000
348,org.jsoup.nodes.ElementTest#testNextElementSiblings,209.000000
